1m30m.csv


Mon Jan 31 11:03:29 2022


Bitcoin,"$38,482.26"
Ethereum,"$2,686.84"
Tether,$1.00
BNB,$384.44
USD Coin,$1.00
Cardano,$1.05
Solana,$97.87
XRP,$0.6074
Terra,$51.53
Dogecoin,$0.1417
PolkadotDOT,$18.89
AvalancheAVAX,$70.10
Binance USDBUSD,$1.00
PolygonMATIC,$1.64
Shiba InuSHIB,$0.00
TerraUSDUST,$1.00
Crypto.com CoinCRO,$0.43
Wrapped BitcoinWBTC,$38449.08
DaiDAI,$1.00
CosmosATOM,$28.40
ChainlinkLINK,$17.26
LitecoinLTC,$109.78
UniswapUNI,$11.78
NEAR ProtocolNEAR,$11.21
AlgorandALGO,$0.96
FTX TokenFTT,$43.69
TRONTRX,$0.06
Bitcoin CashBCH,$289.14
FantomFTM,$2.07
DecentralandMANA,$2.71
StellarXLM,$0.20
Bitcoin BEP2BTCB,$38415.33
HederaHBAR,$0.22
Internet ComputerICP,$19.85
The SandboxSAND,$4.03
VeChainVET,$0.05
UNUS SED LEOLEO,$3.60
Ethereum ClassicETC,$25.53
FilecoinFIL,$21.31
Axie InfinityAXS,$52.44
KlaytnKLAY,$1.19
HeliumHNT,$28.28
TezosXTZ,$3.44
ElrondEGLD,$144.89
Theta NetworkTHETA,$2.91
MoneroXMR,$145.64
IOTAMIOTA,$0.83
EOSEOS,$2.35
FlowFLOW,$6.98
HarmonyONE,$0.19
AaveAAVE,$157.63
MakerMKR,$2116.42
BitTorrent (New)BTT,$0.00
PancakeSwapCAKE,$7.56
StacksSTX,$1.50
The GraphGRT,$0.41
Bitcoin SVBSV,$91.38
Enjin CoinENJ,$1.90
TrueUSDTUSD,$1.00
eCashXEC,$0.00
Curve DAO TokenCRV,$3.18
KuCoin TokenKCS,$17.89
Huobi TokenHT,$9.02
KusamaKSM,$163.60
NeoNEO,$19.59
LoopringLRC,$1.03
THORChainRUNE,$4.13
GalaGALA,$0.19
ArweaveAR,$39.83
Convex FinanceCVX,$27.01
ZcashZEC,$94.47
OKBOKB,$21.46
Basic Attention TokenBAT,$0.85
AmpAMP,$0.03
CeloCELO,$3.15
NexoNEXO,$2.09
QuantQNT,$96.57
Oasis NetworkROSE,$0.32
ChilizCHZ,$0.18
KadenaKDA,$6.18
SymbolXYM,$0.18
DashDASH,$94.27
WavesWAVES,$9.11
Theta FuelTFUEL,$0.18
Pax DollarUSDP,$1.00
NEMXEM,$0.10
yearn.financeYFI,$24490.11
BORABORA,$1.03
DecredDCR,$63.45
MinaMINA,$2.37
SecretSCRT,$5.42
CompoundCOMP,$121.23
1inch Network1INCH,$1.69
HoloHOT,$0.00
RavencoinRVN,$0.07
XDC NetworkXDC,$0.06
Render TokenRNDR,$3.62
IoTeXIOTX,$0.07
OMG NetworkOMG,$5.05
renBTCRENBTC,$38086.98


Mon Jan 31 11:04:31 2022


Bitcoin,"$38,477.01"
Ethereum,"$2,686.88"
Tether,$1.00
BNB,$384.33
USD Coin,$1.00
Cardano,$1.05
Solana,$97.83
XRP,$0.6073
Terra,$51.48
Dogecoin,$0.1417
PolkadotDOT,$18.88
AvalancheAVAX,$70.14
Binance USDBUSD,$1.00
PolygonMATIC,$1.64
Shiba InuSHIB,$0.00
TerraUSDUST,$1.00
Crypto.com CoinCRO,$0.43
Wrapped BitcoinWBTC,$38437.93
DaiDAI,$1.00
CosmosATOM,$28.37
ChainlinkLINK,$17.25
LitecoinLTC,$109.77
UniswapUNI,$11.77
NEAR ProtocolNEAR,$11.20
AlgorandALGO,$0.96
FTX TokenFTT,$43.69
TRONTRX,$0.06
Bitcoin CashBCH,$289.06
FantomFTM,$2.07
DecentralandMANA,$2.71
StellarXLM,$0.20
Bitcoin BEP2BTCB,$38418.39
HederaHBAR,$0.22
Internet ComputerICP,$19.88
The SandboxSAND,$4.02
VeChainVET,$0.05
UNUS SED LEOLEO,$3.60
Ethereum ClassicETC,$25.52
FilecoinFIL,$21.32
Axie InfinityAXS,$52.43
KlaytnKLAY,$1.19
HeliumHNT,$28.27
TezosXTZ,$3.44
ElrondEGLD,$144.84
Theta NetworkTHETA,$2.91
MoneroXMR,$145.53
IOTAMIOTA,$0.83
EOSEOS,$2.34
FlowFLOW,$6.97
HarmonyONE,$0.19
AaveAAVE,$157.61
MakerMKR,$2116.14
BitTorrent (New)BTT,$0.00
PancakeSwapCAKE,$7.56
StacksSTX,$1.50
The GraphGRT,$0.41
Bitcoin SVBSV,$91.38
Enjin CoinENJ,$1.90
TrueUSDTUSD,$1.00
eCashXEC,$0.00
Curve DAO TokenCRV,$3.18
KuCoin TokenKCS,$17.86
Huobi TokenHT,$9.02
KusamaKSM,$163.58
NeoNEO,$19.58
LoopringLRC,$1.03
THORChainRUNE,$4.13
GalaGALA,$0.19
ArweaveAR,$39.73
Convex FinanceCVX,$27.01
ZcashZEC,$94.46
OKBOKB,$21.45
Basic Attention TokenBAT,$0.85
AmpAMP,$0.03
CeloCELO,$3.15
NexoNEXO,$2.09
QuantQNT,$96.51
Oasis NetworkROSE,$0.32
ChilizCHZ,$0.18
KadenaKDA,$6.18
SymbolXYM,$0.18
DashDASH,$94.25
WavesWAVES,$9.11
Theta FuelTFUEL,$0.18
Pax DollarUSDP,$1.00
NEMXEM,$0.10
yearn.financeYFI,$24483.50
BORABORA,$1.03
DecredDCR,$63.44
MinaMINA,$2.37
SecretSCRT,$5.42
CompoundCOMP,$121.22
1inch Network1INCH,$1.69
HoloHOT,$0.00
RavencoinRVN,$0.07
XDC NetworkXDC,$0.06
Render TokenRNDR,$3.63
IoTeXIOTX,$0.07
