Bitcoin,"['38,482.26', '38,477.01', '38,477.01', '38,476.39', '38,476.39', '38,476.39', '38,476.39', '38,506.10', '38,506.10', '38,469.46', '38,469.46', '38,464.13', '38,433.79', '38,433.79', '38,410.19', '38,410.19', '38,410.19', '38,410.19', '38,408.43', '38,408.43', '38,440.33', '38,440.33', '38,466.20', '38,466.20', '38,466.79', '38,466.79', '38,476.28', '38,476.28', '38,440.04', '38,440.04']"
Ethereum,"['2,686.84', '2,686.88', '2,686.88', '2,686.05', '2,686.05', '2,686.05', '2,686.05', '2,688.28', '2,688.28', '2,687.39', '2,687.39', '2,685.97', '2,682.65', '2,682.65', '2,680.69', '2,680.69', '2,680.69', '2,680.69', '2,679.77', '2,679.77', '2,683.54', '2,683.54', '2,685.11', '2,685.11', '2,685.33', '2,685.33', '2,685.44', '2,685.44', '2,682.24', '2,682.24']"
Tether,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
BNB,"['384.44', '384.33', '384.33', '384.26', '384.26', '384.26', '384.26', '384.46', '384.46', '384.24', '384.24', '384.06', '383.79', '383.79', '383.71', '383.71', '383.71', '383.71', '383.70', '383.70', '384.20', '384.20', '384.26', '384.26', '384.18', '384.18', '384.09', '384.09', '383.81', '383.81']"
USD Coin,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Cardano,"['1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05', '1.05']"
Solana,"['97.87', '97.83', '97.83', '97.73', '97.73', '97.73', '97.73', '97.86', '97.86', '97.80', '97.80', '97.75', '97.67', '97.67', '97.63', '97.63', '97.63', '97.63', '97.52', '97.52', '97.68', '97.68', '97.74', '97.74', '97.73', '97.73', '97.71', '97.71', '97.60', '97.60']"
XRP,"['0.6074', '0.6073', '0.6073', '0.607', '0.607', '0.607', '0.607', '0.6075', '0.6075', '0.6073', '0.6073', '0.6074', '0.6072', '0.6072', '0.607', '0.607', '0.607', '0.607', '0.6066', '0.6066', '0.6064', '0.6064', '0.606', '0.606', '0.6058', '0.6058', '0.6053', '0.6053', '0.6051', '0.6051']"
Terra,"['51.53', '51.48', '51.48', '51.30', '51.30', '51.30', '51.30', '51.45', '51.45', '51.36', '51.36', '51.10', '51.00', '51.00', '50.93', '50.93', '50.93', '50.93', '50.88', '50.88', '51.05', '51.05', '51.21', '51.21', '51.22', '51.22', '51.20', '51.20', '51.08', '51.08']"
Dogecoin,"['0.1417', '0.1417', '0.1417', '0.1416', '0.1416', '0.1416', '0.1416', '0.1418', '0.1418', '0.1417', '0.1417', '0.1416', '0.1416', '0.1416', '0.1415', '0.1415', '0.1415', '0.1415', '0.1414', '0.1414', '0.1415', '0.1415', '0.1415', '0.1415', '0.1415', '0.1415', '0.1414', '0.1414', '0.1414', '0.1414']"
PolkadotDOT,"['18.89', '18.88', '18.88', '18.86', '18.86', '18.86', '18.86', '18.90', '18.90', '18.89', '18.89', '18.84', '18.82', '18.82', '18.78', '18.78', '18.78', '18.78', '18.79', '18.79', '18.82', '18.82', '18.83', '18.83', '18.83', '18.83', '18.84', '18.84', '18.82', '18.82']"
AvalancheAVAX,"['70.10', '70.14', '70.14', '70.20', '70.20', '70.20', '70.20', '70.24', '70.24', '70.20', '70.20', '70.15', '70.08', '70.08', '70.02', '70.02', '70.02', '70.02', '69.90', '69.90', '70.02', '70.02', '70.10', '70.10', '70.11', '70.11', '70.08', '70.08', '69.93', '69.93']"
Binance USDBUSD,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
PolygonMATIC,"['1.64', '1.64', '1.64', '1.63', '1.63', '1.63', '1.63', '1.64', '1.64', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63', '1.63']"
Shiba InuSHIB,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
TerraUSDUST,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Crypto.com CoinCRO,"['0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43', '0.43']"
Wrapped BitcoinWBTC,"['38449.08', '38437.93', '38437.93', '38439.27', '38439.27', '38439.27', '38439.27', '38472.58', '38472.58', '38440.72', '38440.72', '38443.34', '38430.01', '38430.01', '38413.81', '38413.81', '38413.81', '38413.81', '38408.80', '38408.80', '38410.73', '38410.73', '38425.78', '38425.78', '38421.42', '38421.42', '38425.49', '38425.49', '38413.47', '38413.47']"
DaiDAI,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
CosmosATOM,"['28.40', '28.37', '28.37', '28.30', '28.30', '28.30', '28.30', '28.35', '28.35', '28.31', '28.31', '28.17', '28.14', '28.14', '28.10', '28.10', '28.10', '28.10', '28.08', '28.08', '28.15', '28.15', '28.13', '28.13', '28.11', '28.11', '28.09', '28.09', '28.06', '28.06']"
ChainlinkLINK,"['17.26', '17.25', '17.25', '17.22', '17.22', '17.22', '17.22', '17.23', '17.23', '17.20', '17.20', '17.17', '17.16', '17.16', '17.14', '17.14', '17.14', '17.14', '17.11', '17.11', '17.14', '17.14', '17.14', '17.14', '17.14', '17.14', '17.15', '17.15', '17.13', '17.13']"
LitecoinLTC,"['109.78', '109.77', '109.77', '109.77', '109.77', '109.77', '109.77', '110.05', '110.05', '110.01', '110.01', '109.95', '109.92', '109.92', '109.88', '109.88', '109.88', '109.88', '109.81', '109.81', '109.92', '109.92', '109.93', '109.93', '109.94', '109.94', '110.01', '110.01', '109.93', '109.93']"
UniswapUNI,"['11.78', '11.77', '11.77', '11.76', '11.76', '11.76', '11.76', '11.78', '11.78', '11.76', '11.76', '11.74', '11.73', '11.73', '11.74', '11.74', '11.74', '11.74', '11.70', '11.70', '11.73', '11.73', '11.73', '11.73', '11.73', '11.73', '11.73', '11.73', '11.72', '11.72']"
NEAR ProtocolNEAR,"['11.21', '11.20', '11.20', '11.21', '11.21', '11.21', '11.21', '11.22', '11.22', '11.20', '11.20', '11.20', '11.20', '11.20', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.19', '11.18', '11.18', '11.17', '11.17']"
AlgorandALGO,"['0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96', '0.96']"
FTX TokenFTT,"['43.69', '43.69', '43.69', '43.68', '43.68', '43.68', '43.68', '43.75', '43.75', '43.69', '43.69', '43.62', '43.60', '43.60', '43.53', '43.53', '43.53', '43.53', '43.51', '43.51', '43.57', '43.57', '43.62', '43.62', '43.62', '43.62', '43.62', '43.62', '43.56', '43.56']"
TRONTRX,"['0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06', '0.06']"
Bitcoin CashBCH,"['289.14', '289.06', '289.06', '288.86', '288.86', '288.86', '288.86', '289.20', '289.20', '289.01', '289.01', '288.78', '288.66', '288.66', '288.45', '288.45', '288.45', '288.45', '288.25', '288.25', '288.40', '288.40', '288.44', '288.44', '288.44', '288.44', '288.45', '288.45', '288.23', '288.23']"
FantomFTM,"['2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.08', '2.08', '2.08', '2.08', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.06', '2.06', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07', '2.07']"
DecentralandMANA,"['2.71', '2.71', '2.71', '2.72', '2.72', '2.72', '2.72', '2.74', '2.74', '2.73', '2.73', '2.73', '2.72', '2.72', '2.71', '2.71', '2.71', '2.71', '2.71', '2.71', '2.72', '2.72', '2.72', '2.72', '2.73', '2.73', '2.74', '2.74', '2.73', '2.73']"
StellarXLM,"['0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20', '0.20']"
Bitcoin BEP2BTCB,"['38415.33', '38418.39', '38418.39', '38352.87', '38352.87', '38352.87', '38352.87', '38397.28', '38397.28', '38381.08', '38381.08', '38365.60', '38365.60', '38365.60', '38367.38', '38367.38', '38367.38', '38367.38', '38340.28', '38340.28', '38336.55', '38336.55', '38351.72', '38351.72', '38351.72', '38351.72', '38347.11', '38347.11', '38340.41', '38340.41']"
HederaHBAR,"['0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22', '0.22']"
Internet ComputerICP,"['19.85', '19.88', '19.88', '19.91', '19.91', '19.91', '19.91', '19.93', '19.93', '19.92', '19.92', '19.91', '19.89', '19.89', '19.89', '19.89', '19.89', '19.89', '19.88', '19.88', '19.91', '19.91', '19.93', '19.93', '19.92', '19.92', '19.88', '19.88', '19.84', '19.84']"
The SandboxSAND,"['4.03', '4.02', '4.02', '4.02', '4.02', '4.02', '4.02', '4.03', '4.03', '4.02', '4.02', '4.01', '4.01', '4.01', '4.00', '4.00', '4.00', '4.00', '3.99', '3.99', '4.00', '4.00', '4.00', '4.00', '4.01', '4.01', '4.00', '4.00', '4.00', '4.00']"
VeChainVET,"['0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05', '0.05']"
UNUS SED LEOLEO,"['3.60', '3.60', '3.60', '3.60', '3.60', '3.60', '3.60', '3.60', '3.60', '3.58', '3.58', '3.60', '3.58', '3.58', '3.58', '3.58', '3.58', '3.58', '3.59', '3.59', '3.60', '3.60', '3.60', '3.60', '3.61', '3.61', '3.61', '3.61', '3.61', '3.61']"
