Bitcoin,"['51,259.35', '51,259.35', '51,259.35', '51,259.35', '51,259.35', '51,259.35', '51,259.35', '51,259.35', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,308.26', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,253.46', '51,179.75', '51,179.75', '51,179.75']"
Ethereum,"['4,081.69', '4,081.69', '4,081.69', '4,081.69', '4,081.69', '4,081.69', '4,081.69', '4,081.69', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,085.03', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,082.65', '4,079.20', '4,079.20', '4,079.20']"
Binance Coin,"['544.74', '544.74', '544.74', '544.74', '544.74', '544.74', '544.74', '544.74', '545.30', '545.30', '545.30', '545.30', '545.30', '545.30', '545.30', '545.30', '545.30', '545.30', '544.85', '544.85', '544.85', '544.85', '544.85', '544.85', '544.85', '544.85', '544.85', '544.83', '544.83', '544.83']"
Tether,"['0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Solana,"['192.55', '192.55', '192.55', '192.55', '192.55', '192.55', '192.55', '192.55', '192.48', '192.48', '192.48', '192.48', '192.48', '192.48', '192.48', '192.48', '192.48', '192.48', '192.54', '192.54', '192.54', '192.54', '192.54', '192.54', '192.54', '192.54', '192.54', '192.43', '192.43', '192.43']"
Cardano,"['1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.42', '1.42', '1.42', '1.42', '1.42', '1.42', '1.42', '1.42', '1.42', '1.42', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41', '1.41']"
XRP,"['0.9219', '0.9219', '0.9219', '0.9219', '0.9219', '0.9219', '0.9219', '0.9219', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9233', '0.9232', '0.9232', '0.9232', '0.9232', '0.9232', '0.9232', '0.9232', '0.9232', '0.9232', '0.9222', '0.9222', '0.9222']"
USD Coin,"['0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '0.9989', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999', '0.9999']"
Terra,"['96.66', '96.66', '96.66', '96.66', '96.66', '96.66', '96.66', '96.66', '96.58', '96.58', '96.58', '96.58', '96.58', '96.58', '96.58', '96.58', '96.58', '96.58', '96.61', '96.61', '96.61', '96.61', '96.61', '96.61', '96.61', '96.61', '96.61', '96.60', '96.60', '96.60']"
Avalanche,"['120.31', '120.31', '120.31', '120.31', '120.31', '120.31', '120.31', '120.31', '120.42', '120.42', '120.42', '120.42', '120.42', '120.42', '120.42', '120.42', '120.42', '120.42', '120.38', '120.38', '120.38', '120.38', '120.38', '120.38', '120.38', '120.38', '120.38', '120.07', '120.07', '120.07']"
PolkadotDOT,"['28.92', '28.92', '28.92', '28.92', '28.92', '28.92', '28.92', '28.92', '28.97', '28.97', '28.97', '28.97', '28.97', '28.97', '28.97', '28.97', '28.97', '28.97', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91', '28.91']"
DogecoinDOGE,"['0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19', '0.19']"
