30 Second Requests for 30 Minutes


Tue Dec 14 13:52:38 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
Cardano,$1.25
USD Coin,$1.00
XRP,$0.8065
Polkadot,$25.63
Dogecoin,$0.1836
TerraLUNA,$58.42
AvalancheAVAX,$80.70
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.83
Wrapped BitcoinWBTC,$46975.16
LitecoinLTC,$148.52
UniswapUNI,$14.73
DaiDAI,$1.00
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.36
ChainlinkLINK,$17.91
Bitcoin CashBCH,$430.90
StellarXLM,$0.27
Axie InfinityAXS,$94.77
DecentralandMANA,$3.10
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.10
FilecoinFIL,$36.83
VeChainVET,$0.08
Bitcoin BEP2BTCB,$47326.13
ElrondEGLD,$247.95
CosmosATOM,$21.53
Internet ComputerICP,$25.12
Ethereum ClassicETC,$35.07
The SandboxSAND,$4.67
HederaHBAR,$0.23
THETATHETA,$3.93
TezosXTZ,$4.39
GalaGALA,$0.49
MoneroXMR,$183.58
UNUS SED LEOLEO,$3.44
FantomFTM,$1.28
EOSEOS,$3.35
KlaytnKLAY,$1.25
PancakeSwapCAKE,$12.40
IOTAMIOTA,$1.06
The GraphGRT,$0.62
LoopringLRC,$2.17
HeliumHNT,$27.29
BitTorrentBTT,$0.00
FlowFLOW,$8.57
StacksSTX,$1.90
KusamaKSM,$278.47
Bitcoin SVBSV,$123.66
MakerMKR,$2273.64
AaveAAVE,$166.72
eCashXEC,$0.00
QuantQNT,$169.62
AmpAMP,$0.05
ZcashZEC,$147.94
HarmonyONE,$0.17
Enjin CoinENJ,$2.30
NeoNEO,$26.05
OKBOKB,$29.58
ChilizCHZ,$0.28
KuCoin TokenKCS,$20.20
Huobi TokenHT,$10.04
WavesWAVES,$14.88
THORChainRUNE,$6.12
Basic Attention TokenBAT,$1.03
KadenaKDA,$9.37
Curve DAO TokenCRV,$3.33
DashDASH,$130.62
HoloHOT,$0.01
TrueUSDTUSD,$1.00
ArweaveAR,$37.58
NexoNEXO,$2.24
CeloCELO,$3.36
NEMXEM,$0.13
CompoundCOMP,$181.00
IoTeXIOTX,$0.11
Theta FuelTFUEL,$0.20
MinaMINA,$3.18
1inch Network1INCH,$2.49
Pax DollarUSDP,$1.00
Oasis NetworkROSE,$0.27
QtumQTUM,$9.22
CelsiusCEL,$3.76
Voyager TokenVGX,$3.16
Immutable XIMX,$4.60
RavencoinRVN,$0.08
DecredDCR,$61.85
OMG NetworkOMG,$5.97
XDC NetworkXDC,$0.07
RevainREV,$0.01
WAXWAXP,$0.43
AnkrANKR,$0.10


Tue Dec 14 13:53:09 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
Cardano,$1.25
USD Coin,$1.00
XRP,$0.8065
Polkadot,$25.63
Dogecoin,$0.1836
TerraLUNA,$58.42
AvalancheAVAX,$80.70
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.83
Wrapped BitcoinWBTC,$46975.16
LitecoinLTC,$148.52
UniswapUNI,$14.73
DaiDAI,$1.00
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.36
ChainlinkLINK,$17.91
Bitcoin CashBCH,$430.90
StellarXLM,$0.27
Axie InfinityAXS,$94.77
DecentralandMANA,$3.10
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.10
FilecoinFIL,$36.83
VeChainVET,$0.08
Bitcoin BEP2BTCB,$47326.13
ElrondEGLD,$247.95
CosmosATOM,$21.53
Internet ComputerICP,$25.12
Ethereum ClassicETC,$35.07
The SandboxSAND,$4.67
HederaHBAR,$0.23
THETATHETA,$3.93
TezosXTZ,$4.39
GalaGALA,$0.49
MoneroXMR,$183.58
UNUS SED LEOLEO,$3.44
FantomFTM,$1.28
EOSEOS,$3.35
KlaytnKLAY,$1.25
PancakeSwapCAKE,$12.40
IOTAMIOTA,$1.06
The GraphGRT,$0.62
LoopringLRC,$2.17
HeliumHNT,$27.29
BitTorrentBTT,$0.00
FlowFLOW,$8.57
StacksSTX,$1.90
KusamaKSM,$278.47
Bitcoin SVBSV,$123.66
MakerMKR,$2273.64
AaveAAVE,$166.72
eCashXEC,$0.00
QuantQNT,$169.62
AmpAMP,$0.05
ZcashZEC,$147.94
HarmonyONE,$0.17
Enjin CoinENJ,$2.30
NeoNEO,$26.05
OKBOKB,$29.58
ChilizCHZ,$0.28
KuCoin TokenKCS,$20.20
Huobi TokenHT,$10.04
WavesWAVES,$14.88
THORChainRUNE,$6.12
Basic Attention TokenBAT,$1.03
KadenaKDA,$9.37
Curve DAO TokenCRV,$3.33
DashDASH,$130.62
HoloHOT,$0.01
TrueUSDTUSD,$1.00
ArweaveAR,$37.58
NexoNEXO,$2.24
CeloCELO,$3.36
NEMXEM,$0.13
CompoundCOMP,$181.00
IoTeXIOTX,$0.11
Theta FuelTFUEL,$0.20
MinaMINA,$3.18
1inch Network1INCH,$2.49
Pax DollarUSDP,$1.00
Oasis NetworkROSE,$0.27
QtumQTUM,$9.22
CelsiusCEL,$3.76
Voyager TokenVGX,$3.16
Immutable XIMX,$4.60
RavencoinRVN,$0.08
DecredDCR,$61.85
OMG NetworkOMG,$5.97
XDC NetworkXDC,$0.07
RevainREV,$0.01
WAXWAXP,$0.43
AnkrANKR,$0.10


Tue Dec 14 13:53:40 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
Cardano,$1.25
USD Coin,$1.00
XRP,$0.8065
Polkadot,$25.63
Dogecoin,$0.1836
TerraLUNA,$58.42
AvalancheAVAX,$80.70
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.83
Wrapped BitcoinWBTC,$46975.16
LitecoinLTC,$148.52
UniswapUNI,$14.73
DaiDAI,$1.00
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.36
ChainlinkLINK,$17.91
Bitcoin CashBCH,$430.90
StellarXLM,$0.27
Axie InfinityAXS,$94.77
DecentralandMANA,$3.10
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.10
FilecoinFIL,$36.83
VeChainVET,$0.08
Bitcoin BEP2BTCB,$47326.13
ElrondEGLD,$247.95
CosmosATOM,$21.53
Internet ComputerICP,$25.12
Ethereum ClassicETC,$35.07
The SandboxSAND,$4.67
HederaHBAR,$0.23
THETATHETA,$3.93
TezosXTZ,$4.39
GalaGALA,$0.49
MoneroXMR,$183.58
UNUS SED LEOLEO,$3.44
FantomFTM,$1.28
EOSEOS,$3.35
KlaytnKLAY,$1.25
PancakeSwapCAKE,$12.40
IOTAMIOTA,$1.06
The GraphGRT,$0.62
LoopringLRC,$2.17
HeliumHNT,$27.29
BitTorrentBTT,$0.00
FlowFLOW,$8.57
StacksSTX,$1.90
KusamaKSM,$278.47
Bitcoin SVBSV,$123.66
MakerMKR,$2273.64
AaveAAVE,$166.72
eCashXEC,$0.00
QuantQNT,$169.62
AmpAMP,$0.05
ZcashZEC,$147.94
HarmonyONE,$0.17
Enjin CoinENJ,$2.30
NeoNEO,$26.05
OKBOKB,$29.58
ChilizCHZ,$0.28
KuCoin TokenKCS,$20.20
Huobi TokenHT,$10.04
WavesWAVES,$14.88
THORChainRUNE,$6.12
Basic Attention TokenBAT,$1.03
KadenaKDA,$9.37
Curve DAO TokenCRV,$3.33
DashDASH,$130.62
HoloHOT,$0.01
TrueUSDTUSD,$1.00
ArweaveAR,$37.58
NexoNEXO,$2.24
CeloCELO,$3.36
NEMXEM,$0.13
CompoundCOMP,$181.00
IoTeXIOTX,$0.11
Theta FuelTFUEL,$0.20
MinaMINA,$3.18
1inch Network1INCH,$2.49
Pax DollarUSDP,$1.00
Oasis NetworkROSE,$0.27
QtumQTUM,$9.22
CelsiusCEL,$3.76
Voyager TokenVGX,$3.16
Immutable XIMX,$4.60
RavencoinRVN,$0.08
DecredDCR,$61.85
OMG NetworkOMG,$5.97
XDC NetworkXDC,$0.07
RevainREV,$0.01
WAXWAXP,$0.43
AnkrANKR,$0.10


Tue Dec 14 13:54:11 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
Cardano,$1.25
USD Coin,$1.00
XRP,$0.8065
Polkadot,$25.63
Dogecoin,$0.1836
TerraLUNA,$58.42
AvalancheAVAX,$80.70
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.83
Wrapped BitcoinWBTC,$46975.16
LitecoinLTC,$148.52
UniswapUNI,$14.73
DaiDAI,$1.00
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.36
ChainlinkLINK,$17.91
Bitcoin CashBCH,$430.90
StellarXLM,$0.27
Axie InfinityAXS,$94.77
DecentralandMANA,$3.10
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.10
FilecoinFIL,$36.83
VeChainVET,$0.08
Bitcoin BEP2BTCB,$47326.13
ElrondEGLD,$247.95
CosmosATOM,$21.53
Internet ComputerICP,$25.12
Ethereum ClassicETC,$35.07
The SandboxSAND,$4.67
HederaHBAR,$0.23
THETATHETA,$3.93
TezosXTZ,$4.39
GalaGALA,$0.49
MoneroXMR,$183.58
UNUS SED LEOLEO,$3.44
FantomFTM,$1.28
EOSEOS,$3.35
KlaytnKLAY,$1.25
PancakeSwapCAKE,$12.40
IOTAMIOTA,$1.06
The GraphGRT,$0.62
LoopringLRC,$2.17
HeliumHNT,$27.29
BitTorrentBTT,$0.00
FlowFLOW,$8.57
StacksSTX,$1.90
KusamaKSM,$278.47
Bitcoin SVBSV,$123.66
MakerMKR,$2273.64
AaveAAVE,$166.72
eCashXEC,$0.00
QuantQNT,$169.62
AmpAMP,$0.05
ZcashZEC,$147.94
HarmonyONE,$0.17
Enjin CoinENJ,$2.30
NeoNEO,$26.05
OKBOKB,$29.58
ChilizCHZ,$0.28
KuCoin TokenKCS,$20.20
Huobi TokenHT,$10.04
WavesWAVES,$14.88
THORChainRUNE,$6.12
Basic Attention TokenBAT,$1.03
KadenaKDA,$9.37
Curve DAO TokenCRV,$3.33
DashDASH,$130.62
HoloHOT,$0.01
TrueUSDTUSD,$1.00
ArweaveAR,$37.58
NexoNEXO,$2.24
CeloCELO,$3.36
NEMXEM,$0.13
CompoundCOMP,$181.00
IoTeXIOTX,$0.11
Theta FuelTFUEL,$0.20
MinaMINA,$3.18
1inch Network1INCH,$2.49
Pax DollarUSDP,$1.00
Oasis NetworkROSE,$0.27
QtumQTUM,$9.22
CelsiusCEL,$3.76
Voyager TokenVGX,$3.16
Immutable XIMX,$4.60
RavencoinRVN,$0.08
DecredDCR,$61.85
OMG NetworkOMG,$5.97
XDC NetworkXDC,$0.07
RevainREV,$0.01
WAXWAXP,$0.43
AnkrANKR,$0.10


Tue Dec 14 13:54:42 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
Cardano,$1.25
USD Coin,$1.00
XRP,$0.8065
Polkadot,$25.63
Dogecoin,$0.1836
TerraLUNA,$58.42
AvalancheAVAX,$80.70
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.83
Wrapped BitcoinWBTC,$46975.16
LitecoinLTC,$148.52
UniswapUNI,$14.73
DaiDAI,$1.00
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.36
ChainlinkLINK,$17.91
Bitcoin CashBCH,$430.90
StellarXLM,$0.27
Axie InfinityAXS,$94.77
DecentralandMANA,$3.10
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.10
FilecoinFIL,$36.83
VeChainVET,$0.08
Bitcoin BEP2BTCB,$47326.13
ElrondEGLD,$247.95
CosmosATOM,$21.53
Internet ComputerICP,$25.12
Ethereum ClassicETC,$35.07
The SandboxSAND,$4.67
HederaHBAR,$0.23
THETATHETA,$3.93
TezosXTZ,$4.39
GalaGALA,$0.49
MoneroXMR,$183.58
UNUS SED LEOLEO,$3.44
FantomFTM,$1.28
EOSEOS,$3.35
KlaytnKLAY,$1.25
PancakeSwapCAKE,$12.40
IOTAMIOTA,$1.06
The GraphGRT,$0.62
LoopringLRC,$2.17
HeliumHNT,$27.29
BitTorrentBTT,$0.00
FlowFLOW,$8.57
StacksSTX,$1.90
KusamaKSM,$278.47
Bitcoin SVBSV,$123.66
MakerMKR,$2273.64
AaveAAVE,$166.72
eCashXEC,$0.00
QuantQNT,$169.62
AmpAMP,$0.05
ZcashZEC,$147.94
HarmonyONE,$0.17
Enjin CoinENJ,$2.30
NeoNEO,$26.05
OKBOKB,$29.58
ChilizCHZ,$0.28
KuCoin TokenKCS,$20.20
Huobi TokenHT,$10.04
WavesWAVES,$14.88
THORChainRUNE,$6.12
Basic Attention TokenBAT,$1.03
KadenaKDA,$9.37
Curve DAO TokenCRV,$3.33
DashDASH,$130.62
HoloHOT,$0.01
TrueUSDTUSD,$1.00
ArweaveAR,$37.58
NexoNEXO,$2.24
CeloCELO,$3.36
NEMXEM,$0.13
CompoundCOMP,$181.00
IoTeXIOTX,$0.11
Theta FuelTFUEL,$0.20
MinaMINA,$3.18
1inch Network1INCH,$2.49
Pax DollarUSDP,$1.00
Oasis NetworkROSE,$0.27
QtumQTUM,$9.22
CelsiusCEL,$3.76
Voyager TokenVGX,$3.16
Immutable XIMX,$4.60
RavencoinRVN,$0.08
DecredDCR,$61.85
OMG NetworkOMG,$5.97
XDC NetworkXDC,$0.07
RevainREV,$0.01
WAXWAXP,$0.43
AnkrANKR,$0.10


Tue Dec 14 13:55:13 2021


Bitcoin,"$47,377.30"
Ethereum,"$3,819.26"
Binance Coin,$517.55
Tether,$1.00
Solana,$155.58
