Chapter.csv


Mon Feb  7 18:28:01 2022


Bitcoin,"$43,979.78"
Ethereum,"$3,142.29"
Tether,$1.00
BNB,$433.67
USD Coin,$0.9993
Cardano,$1.25
XRP,$0.8351
Solana,$117.54
Terra,$59.34
Polkadot,$22.38
DogecoinDOGE,$0.16
AvalancheAVAX,$82.89
Shiba InuSHIB,$0.00
Binance USDBUSD,$1.00
PolygonMATIC,$2.02
Crypto.com CoinCRO,$0.49
Wrapped BitcoinWBTC,$43876.43
TerraUSDUST,$1.00
DaiDAI,$1.00
LitecoinLTC,$138.76
CosmosATOM,$31.56
ChainlinkLINK,$18.83
NEAR ProtocolNEAR,$13.54
UniswapUNI,$12.37
AlgorandALGO,$1.07
TRONTRX,$0.07
Bitcoin CashBCH,$346.62
FTX TokenFTT,$47.29
StellarXLM,$0.24
DecentralandMANA,$3.28
FantomFTM,$2.30
Internet ComputerICP,$24.38
HederaHBAR,$0.26
UNUS SED LEOLEO,$4.86
Bitcoin BEP2BTCB,$43841.38
The SandboxSAND,$4.66
VeChainVET,$0.07
Ethereum ClassicETC,$32.33
Axie InfinityAXS,$67.22
FilecoinFIL,$24.37
TezosXTZ,$4.21
ElrondEGLD,$176.90
Theta NetworkTHETA,$3.56
MoneroXMR,$185.28
HeliumHNT,$30.17
KlaytnKLAY,$1.26
IOTAMIOTA,$1.00
EOSEOS,$2.72
HarmonyONE,$0.22
GalaGALA,$0.36
AaveAAVE,$182.92
FlowFLOW,$7.67
The GraphGRT,$0.51
PancakeSwapCAKE,$8.62
StacksSTX,$1.75
MakerMKR,$2278.92
BitTorrent (New)BTT,$0.00
Bitcoin SVBSV,$103.19
QuantQNT,$152.50
Enjin CoinENJ,$2.09
eCashXEC,$0.00
ZcashZEC,$128.03
KusamaKSM,$199.22
NeoNEO,$23.86
THORChainRUNE,$5.00
KuCoin TokenKCS,$20.41
Curve DAO TokenCRV,$3.57
Huobi TokenHT,$10.01
TrueUSDTUSD,$1.00
LoopringLRC,$1.13
Basic Attention TokenBAT,$0.97
CeloCELO,$3.53
AmpAMP,$0.03
ChilizCHZ,$0.23
OKBOKB,$22.91
Convex FinanceCVX,$27.94
Oasis NetworkROSE,$0.38
ArweaveAR,$40.03
KadenaKDA,$7.94
NexoNEXO,$2.23
DashDASH,$115.98
WavesWAVES,$11.08
Theta FuelTFUEL,$0.22
BORABORA,$1.35
MinaMINA,$3.05
SymbolXYM,$0.19
NEMXEM,$0.12
SecretSCRT,$6.75
HoloHOT,$0.01
DecredDCR,$71.63
CompoundCOMP,$149.34
yearn.financeYFI,$26266.50
Pax DollarUSDP,$1.00
1inch Network1INCH,$1.93
IoTeXIOTX,$0.09
XDC NetworkXDC,$0.07
RavencoinRVN,$0.08
Render TokenRNDR,$3.61
OMG NetworkOMG,$5.44
WAXWAXP,$0.39


Mon Feb  7 18:29:03 2022


Bitcoin,"$43,979.78"
Ethereum,"$3,142.29"
Tether,$1.00
BNB,$433.67
USD Coin,$0.9993
Cardano,$1.25
XRP,$0.8351
Solana,$117.54
Terra,$59.34
Polkadot,$22.38
DogecoinDOGE,$0.16
AvalancheAVAX,$82.89
Shiba InuSHIB,$0.00
Binance USDBUSD,$1.00
PolygonMATIC,$2.02
Crypto.com CoinCRO,$0.49
Wrapped BitcoinWBTC,$43876.43
TerraUSDUST,$1.00
DaiDAI,$1.00
LitecoinLTC,$138.76
CosmosATOM,$31.56
ChainlinkLINK,$18.83
NEAR ProtocolNEAR,$13.54
UniswapUNI,$12.37
AlgorandALGO,$1.07
TRONTRX,$0.07
Bitcoin CashBCH,$346.62
FTX TokenFTT,$47.29
StellarXLM,$0.24
DecentralandMANA,$3.28
FantomFTM,$2.30
Internet ComputerICP,$24.38
HederaHBAR,$0.26
UNUS SED LEOLEO,$4.86
Bitcoin BEP2BTCB,$43841.38
The SandboxSAND,$4.66
VeChainVET,$0.07
Ethereum ClassicETC,$32.33
Axie InfinityAXS,$67.22
FilecoinFIL,$24.37
TezosXTZ,$4.21
ElrondEGLD,$176.90
Theta NetworkTHETA,$3.56
MoneroXMR,$185.28
HeliumHNT,$30.17
KlaytnKLAY,$1.26
IOTAMIOTA,$1.00
EOSEOS,$2.72
HarmonyONE,$0.22
GalaGALA,$0.36
AaveAAVE,$182.92
FlowFLOW,$7.67
The GraphGRT,$0.51
PancakeSwapCAKE,$8.62
StacksSTX,$1.75
MakerMKR,$2278.92
BitTorrent (New)BTT,$0.00
Bitcoin SVBSV,$103.19
QuantQNT,$152.50
Enjin CoinENJ,$2.09
eCashXEC,$0.00
ZcashZEC,$128.03
KusamaKSM,$199.22
NeoNEO,$23.86
THORChainRUNE,$5.00
KuCoin TokenKCS,$20.41
Curve DAO TokenCRV,$3.57
Huobi TokenHT,$10.01
TrueUSDTUSD,$1.00
LoopringLRC,$1.13
Basic Attention TokenBAT,$0.97
CeloCELO,$3.53
AmpAMP,$0.03
ChilizCHZ,$0.23
OKBOKB,$22.91
Convex FinanceCVX,$27.94
Oasis NetworkROSE,$0.38
ArweaveAR,$40.03
KadenaKDA,$7.94
NexoNEXO,$2.23
DashDASH,$115.98
WavesWAVES,$11.08
Theta FuelTFUEL,$0.22
BORABORA,$1.35
MinaMINA,$3.05
SymbolXYM,$0.19
NEMXEM,$0.12
SecretSCRT,$6.75
HoloHOT,$0.01
DecredDCR,$71.63
CompoundCOMP,$149.34
yearn.financeYFI,$26266.50
Pax DollarUSDP,$1.00
1inch Network1INCH,$1.93
IoTeXIOTX,$0.09
XDC NetworkXDC,$0.07
RavencoinRVN,$0.08
Render TokenRNDR,$3.61
OMG NetworkOMG,$5.44
WAXWAXP,$0.39


Mon Feb  7 18:30:04 2022


Bitcoin,"$43,942.39"
Ethereum,"$3,140.34"
Tether,$1.00
BNB,$433.45
USD Coin,$0.9993
Cardano,$1.24
XRP,$0.8345
Solana,$117.51
Terra,$59.26
Polkadot,$22.36
DogecoinDOGE,$0.16
AvalancheAVAX,$82.75
Shiba InuSHIB,$0.00
Binance USDBUSD,$1.00
PolygonMATIC,$2.01
Crypto.com CoinCRO,$0.49
Wrapped BitcoinWBTC,$43877.60
TerraUSDUST,$1.00
DaiDAI,$1.00
LitecoinLTC,$138.69
CosmosATOM,$31.52
ChainlinkLINK,$18.82
NEAR ProtocolNEAR,$13.52
UniswapUNI,$12.37
AlgorandALGO,$1.07
TRONTRX,$0.07
Bitcoin CashBCH,$346.57
FTX TokenFTT,$47.26
StellarXLM,$0.24
DecentralandMANA,$3.27
FantomFTM,$2.30
Internet ComputerICP,$24.31
HederaHBAR,$0.26
UNUS SED LEOLEO,$4.84
Bitcoin BEP2BTCB,$43892.97
The SandboxSAND,$4.66
VeChainVET,$0.07
Ethereum ClassicETC,$32.30
Axie InfinityAXS,$67.24
FilecoinFIL,$24.32
TezosXTZ,$4.21
ElrondEGLD,$176.70
Theta NetworkTHETA,$3.55
MoneroXMR,$185.10
HeliumHNT,$30.11
KlaytnKLAY,$1.25
IOTAMIOTA,$1.00
EOSEOS,$2.72
HarmonyONE,$0.22
GalaGALA,$0.36
AaveAAVE,$182.96
FlowFLOW,$7.66
The GraphGRT,$0.51
PancakeSwapCAKE,$8.60
StacksSTX,$1.75
MakerMKR,$2277.70
BitTorrent (New)BTT,$0.00
Bitcoin SVBSV,$103.13
QuantQNT,$152.47
eCashXEC,$0.00
Enjin CoinENJ,$2.09
ZcashZEC,$127.86
KusamaKSM,$199.02
NeoNEO,$23.83
THORChainRUNE,$4.99
KuCoin TokenKCS,$20.36
Curve DAO TokenCRV,$3.56
Huobi TokenHT,$10.00
TrueUSDTUSD,$1.00
LoopringLRC,$1.13
Basic Attention TokenBAT,$0.97
CeloCELO,$3.52
AmpAMP,$0.03
ChilizCHZ,$0.23
OKBOKB,$22.92
Convex FinanceCVX,$27.91
Oasis NetworkROSE,$0.38
KadenaKDA,$7.97
ArweaveAR,$40.02
NexoNEXO,$2.23
DashDASH,$115.97
WavesWAVES,$11.06
Theta FuelTFUEL,$0.22
BORABORA,$1.36
MinaMINA,$3.05
SymbolXYM,$0.19
NEMXEM,$0.12
SecretSCRT,$6.75
HoloHOT,$0.01
DecredDCR,$71.64
CompoundCOMP,$149.41
yearn.financeYFI,$26262.92
Pax DollarUSDP,$1.00
1inch Network1INCH,$1.93
IoTeXIOTX,$0.09
XDC NetworkXDC,$0.07
RavencoinRVN,$0.08
Render TokenRNDR,$3.62
OMG NetworkOMG,$5.44
WAXWAXP,$0.39


Mon Feb  7 18:31:06 2022


Bitcoin,"$43,942.39"
Ethereum,"$3,140.34"
Tether,$1.00
BNB,$433.45
USD Coin,$0.9993
Cardano,$1.24
XRP,$0.8345
Solana,$117.51
Terra,$59.26
Polkadot,$22.36
DogecoinDOGE,$0.16
AvalancheAVAX,$82.75
Shiba InuSHIB,$0.00
Binance USDBUSD,$1.00
PolygonMATIC,$2.01
Crypto.com CoinCRO,$0.49
Wrapped BitcoinWBTC,$43877.60
TerraUSDUST,$1.00
DaiDAI,$1.00
LitecoinLTC,$138.69
CosmosATOM,$31.52
ChainlinkLINK,$18.82
NEAR ProtocolNEAR,$13.52
UniswapUNI,$12.37
AlgorandALGO,$1.07
TRONTRX,$0.07
Bitcoin CashBCH,$346.57
FTX TokenFTT,$47.26
StellarXLM,$0.24
DecentralandMANA,$3.27
FantomFTM,$2.30
Internet ComputerICP,$24.31
HederaHBAR,$0.26
UNUS SED LEOLEO,$4.84
Bitcoin BEP2BTCB,$43892.97
The SandboxSAND,$4.66
VeChainVET,$0.07
Ethereum ClassicETC,$32.30
Axie InfinityAXS,$67.24
FilecoinFIL,$24.32
TezosXTZ,$4.21
ElrondEGLD,$176.70
Theta NetworkTHETA,$3.55
MoneroXMR,$185.10
HeliumHNT,$30.11
KlaytnKLAY,$1.25
IOTAMIOTA,$1.00
EOSEOS,$2.72
HarmonyONE,$0.22
GalaGALA,$0.36
AaveAAVE,$182.96
FlowFLOW,$7.66
The GraphGRT,$0.51
PancakeSwapCAKE,$8.60
StacksSTX,$1.75
MakerMKR,$2277.70
BitTorrent (New)BTT,$0.00
Bitcoin SVBSV,$103.13
QuantQNT,$152.47
eCashXEC,$0.00
Enjin CoinENJ,$2.09
ZcashZEC,$127.86
KusamaKSM,$199.02
NeoNEO,$23.83
THORChainRUNE,$4.99
KuCoin TokenKCS,$20.36
Curve DAO TokenCRV,$3.56
Huobi TokenHT,$10.00
TrueUSDTUSD,$1.00
LoopringLRC,$1.13
Basic Attention TokenBAT,$0.97
CeloCELO,$3.52
AmpAMP,$0.03
ChilizCHZ,$0.23
OKBOKB,$22.92
Convex FinanceCVX,$27.91
Oasis NetworkROSE,$0.38
KadenaKDA,$7.97
ArweaveAR,$40.02
NexoNEXO,$2.23
DashDASH,$115.97
WavesWAVES,$11.06
Theta FuelTFUEL,$0.22
BORABORA,$1.36
MinaMINA,$3.05
SymbolXYM,$0.19
NEMXEM,$0.12
SecretSCRT,$6.75
HoloHOT,$0.01
DecredDCR,$71.64
CompoundCOMP,$149.41
yearn.financeYFI,$26262.92
Pax DollarUSDP,$1.00
