Bitcoin,"['46,639.47', '47,016.77', '47,196.48', '47,178.59', '47,035.12', '47,061.36', '46,994.18', '46,830.98', '46,758.33', '46,901.77']"
Ethereum,"['3,798.01', '3,822.74', '3,827.68', '3,823.69', '3,809.66', '3,817.48', '3,801.05', '3,790.30', '3,779.68', '3,787.73']"
Binance Coin,"['522.30', '525.98', '527.68', '527.27', '525.58', '524.78', '524.20', '522.33', '520.08', '524.40']"
Tether,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Solana,"['155.10', '156.76', '157.91', '157.34', '156.00', '157.21', '156.46', '155.42', '155.23', '156.28']"
USD Coin,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Cardano,"['1.22', '1.24', '1.24', '1.24', '1.23', '1.23', '1.23', '1.22', '1.22', '1.23']"
XRP,"['0.7847', '0.7941', '0.7976', '0.7963', '0.7916', '0.7904', '0.7897', '0.7879', '0.7856', '0.79']"
Polkadot,"['25.93', '26.26', '26.37', '26.32', '26.18', '26.15', '26.08', '25.93', '25.92', '26.15']"
Dogecoin,"['0.157', '0.1584', '0.1588', '0.1585', '0.1576', '0.1579', '0.157', '0.1566', '0.1565', '0.1572']"
TerraLUNA,"['53.03', '53.56', '54.10', '54.67', '54.12', '54.36', '54.34', '53.98', '53.82', '54.33']"
AvalancheAVAX,"['80.03', '80.65', '80.78', '79.99', '79.36', '79.54', '79.50', '78.95', '78.38', '79.30']"
SHIBA INUSHIB,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
Binance USDBUSD,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Crypto.com CoinCRO,"['0.53', '0.54', '0.54', '0.54', '0.54', '0.54', '0.54', '0.53', '0.53', '0.54']"
PolygonMATIC,"['1.82', '1.84', '1.85', '1.85', '1.83', '1.83', '1.83', '1.83', '1.81', '1.84']"
Wrapped BitcoinWBTC,"['46385.53', '46590.39', '46782.45', '46814.19', '46779.67', '46731.88', '46729.87', '46629.68', '46591.09', '46665.30']"
LitecoinLTC,"['144.07', '145.84', '146.44', '146.11', '145.47', '145.88', '145.48', '145.20', '144.83', '145.59']"
UniswapUNI,"['14.13', '14.33', '14.37', '14.33', '14.27', '14.22', '14.20', '14.12', '14.09', '14.23']"
