Bitcoin,"['46,978.70', '47,064.17', '46,978.70', '49,371.15', '49,403.74', '49,403.74', '49,371.15']"
Ethereum,"['3,921.85', '3,927.28', '3,921.85', '4,055.36', '4,059.96', '4,059.96', '4,055.36']"
Binance Coin,"['531.30', '531.71', '531.30', '533.13', '532.83', '532.83', '533.13']"
Tether,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Solana,"['182.03', '183.05', '182.03', '180.56', '180.77', '180.77', '180.56']"
Cardano,"['1.25', '1.26', '1.25', '1.30', '1.30', '1.30', '1.30']"
USD Coin,"['1.00', '0.9999', '1.00', '0.9998', '0.9998', '0.9998', '0.9998']"
XRP,"['0.834', '0.8354', '0.834', '0.9541', '0.9547', '0.9547', '0.9541']"
Terra,"['73.87', '74.08', '73.87', '92.31', '92.09', '92.09', '92.31']"
Avalanche,"['108.81', '108.87', '108.81', '126.01', '125.45', '125.45', '126.01']"
PolkadotDOT,"['24.89', '24.97', '24.89', '25.55', '25.61', '25.61', '25.55']"
DogecoinDOGE,"['0.17', '0.17', '0.17', '0.17', '0.17', '0.17', '0.17']"
SHIBA INUSHIB,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
PolygonMATIC,"['2.28', '2.28', '2.28', '2.48', '2.48', '2.48', '2.48']"
Binance USDBUSD,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
Crypto.com CoinCRO,"['0.52', '0.52', '0.52', '0.54', '0.54', '0.54', '0.54']"
Wrapped BitcoinWBTC,"['46908.75', '46961.84', '46908.75', '48530.85', '48532.00', '48532.00', '48530.85']"
LitecoinLTC,"['157.78', '158.35', '157.78', '155.83', '155.96', '155.96', '155.83']"
UniswapUNI,"['15.06', '15.09', '15.06', '15.37', '15.34', '15.34', '15.37']"
DaiDAI,"['1.00', '1.00', '1.00', '1.01', '1.01', '1.01', '1.01']"
ChainlinkLINK,"['19.30', '19.34', '19.30', '19.77', '19.73', '19.73', '19.77']"
TerraUSDUST,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00']"
AlgorandALGO,"['1.37', '1.37', '1.37', '1.36', '1.36', '1.36', '1.36']"
