Cryptocurrency Data


Mon Dec 13 01:23:12 2021


Bitcoin,"$48,924.75"
Ethereum,"$4,011.87"
Binance Coin,$554.54
Tether,$1.00
Solana,$165.91
Cardano,$1.31
USD Coin,$1.00
XRP,$0.8312
Polkadot,$28.12
Terra,$59.94
DogecoinDOGE,$0.16
AvalancheAVAX,$85.15
SHIBA INUSHIB,$0.00
Crypto.com CoinCRO,$0.58
PolygonMATIC,$1.95
Binance USDBUSD,$1.00
Wrapped BitcoinWBTC,$48500.40
LitecoinLTC,$155.24
UniswapUNI,$15.38
AlgorandALGO,$1.48
TRONTRX,$0.09
ChainlinkLINK,$19.19
TerraUSDUST,$1.00
Bitcoin CashBCH,$445.88
StellarXLM,$0.26
DaiDAI,$1.00
DecentralandMANA,$3.43
Axie InfinityAXS,$100.62
NEAR ProtocolNEAR,$9.86
FTX TokenFTT,$40.53
VeChainVET,$0.08
CosmosATOM,$23.59
FilecoinFIL,$38.32
Bitcoin BEP2BTCB,$48725.04
ElrondEGLD,$254.91
Internet ComputerICP,$27.32
Ethereum ClassicETC,$36.66
The SandboxSAND,$5.20
HederaHBAR,$0.25
THETATHETA,$4.24
GalaGALA,$0.55
TezosXTZ,$4.33
FantomFTM,$1.41
UNUS SED LEOLEO,$3.71
MoneroXMR,$193.01
KlaytnKLAY,$1.31
LoopringLRC,$2.38
EOSEOS,$3.20
The GraphGRT,$0.66
IOTAMIOTA,$1.10
BitTorrentBTT,$0.00
HeliumHNT,$29.14
PancakeSwapCAKE,$11.54
FlowFLOW,$8.99
StacksSTX,$2.03
KusamaKSM,$291.68
Bitcoin SVBSV,$128.90
MakerMKR,$2394.52
AaveAAVE,$172.87
QuantQNT,$188.48
ZcashZEC,$167.22
AmpAMP,$0.05
Enjin CoinENJ,$2.53
eCashXEC,$0.00
HarmonyONE,$0.18
NeoNEO,$27.12
THORChainRUNE,$6.80
ChilizCHZ,$0.29
WavesWAVES,$15.85
KuCoin TokenKCS,$20.74
Basic Attention TokenBAT,$1.11
KadenaKDA,$10.16
OKBOKB,$27.23
Curve DAO TokenCRV,$3.76
Huobi TokenHT,$10.01
HoloHOT,$0.01
DashDASH,$134.05
CeloCELO,$3.75
NexoNEXO,$2.40
TrueUSDTUSD,$1.00
ArweaveAR,$38.86
CompoundCOMP,$191.45
NEMXEM,$0.13
Theta FuelTFUEL,$0.22
Oasis NetworkROSE,$0.33
MinaMINA,$3.48
IoTeXIOTX,$0.11
RevainREV,$0.01
1inch Network1INCH,$2.52
Voyager TokenVGX,$3.55
DecredDCR,$71.30
QtumQTUM,$9.59
Pax DollarUSDP,$1.00
CelsiusCEL,$3.90
Immutable XIMX,$4.88
WAXWAXP,$0.49
RavencoinRVN,$0.09
XDC NetworkXDC,$0.07
OMG NetworkOMG,$6.27
AnkrANKR,$0.10

Mon Dec 13 11:40:42 2021


Bitcoin,"$47,399.32"
Ethereum,"$3,817.05"
Binance Coin,$531.02
Tether,$0.9994
Solana,$156.43
USD Coin,$0.9996
Cardano,$1.23
XRP,$0.795
Polkadot,$26.62
Dogecoin,$0.1585
TerraLUNA,$55.35
AvalancheAVAX,$79.51
SHIBA INUSHIB,$0.00
Crypto.com CoinCRO,$0.55
Binance USDBUSD,$1.00
PolygonMATIC,$1.82
Wrapped BitcoinWBTC,$47054.62
LitecoinLTC,$148.21
UniswapUNI,$14.58
TRONTRX,$0.09
TerraUSDUST,$1.00
AlgorandALGO,$1.37
ChainlinkLINK,$18.07
Bitcoin CashBCH,$427.75
DaiDAI,$1.00
StellarXLM,$0.26
DecentralandMANA,$3.25
Axie InfinityAXS,$94.58
NEAR ProtocolNEAR,$9.32
FTX TokenFTT,$38.49
VeChainVET,$0.08
FilecoinFIL,$36.54
CosmosATOM,$21.99
Bitcoin BEP2BTCB,$47364.14
Internet ComputerICP,$25.39
ElrondEGLD,$238.82
Ethereum ClassicETC,$34.88
The SandboxSAND,$4.93
HederaHBAR,$0.23
THETATHETA,$3.96
GalaGALA,$0.52
TezosXTZ,$4.08
UNUS SED LEOLEO,$3.65
MoneroXMR,$185.88
FantomFTM,$1.32
KlaytnKLAY,$1.26
EOSEOS,$3.11
LoopringLRC,$2.18
BitTorrentBTT,$0.00
IOTAMIOTA,$1.03
The GraphGRT,$0.61
FlowFLOW,$8.76
PancakeSwapCAKE,$11.16
HeliumHNT,$26.49
StacksSTX,$1.95
KusamaKSM,$277.06
Bitcoin SVBSV,$123.92
MakerMKR,$2263.93
AaveAAVE,$164.12
QuantQNT,$178.42
AmpAMP,$0.05
eCashXEC,$0.00
ZcashZEC,$151.34
Enjin CoinENJ,$2.38
HarmonyONE,$0.17
NeoNEO,$25.66
OKBOKB,$27.43
ChilizCHZ,$0.28
THORChainRUNE,$6.29
KuCoin TokenKCS,$19.96
WavesWAVES,$14.90
Basic Attention TokenBAT,$1.05
KadenaKDA,$9.25
Huobi TokenHT,$9.29
Curve DAO TokenCRV,$3.37
HoloHOT,$0.01
DashDASH,$127.71
TrueUSDTUSD,$1.00
CeloCELO,$3.51
NexoNEXO,$2.27
ArweaveAR,$36.51
CompoundCOMP,$183.38
NEMXEM,$0.12
Theta FuelTFUEL,$0.21
MinaMINA,$3.32
IoTeXIOTX,$0.11
RevainREV,$0.01
Oasis NetworkROSE,$0.27
1inch Network1INCH,$2.33
Voyager TokenVGX,$3.38
Pax DollarUSDP,$1.00
CelsiusCEL,$3.81
DecredDCR,$65.98
QtumQTUM,$9.01
Immutable XIMX,$4.72
XDC NetworkXDC,$0.07
WAXWAXP,$0.46
RavencoinRVN,$0.08
OMG NetworkOMG,$5.81
AnkrANKR,$0.10


Mon Dec 13 15:22:18 2021


Bitcoin,"$47,139.43"
Ethereum,"$3,794.46"
Binance Coin,$528.94
Tether,$1.00
Solana,$154.79
USD Coin,$1.00
Cardano,$1.24
XRP,$0.7865
Polkadot,$26.38
Dogecoin,$0.1579
TerraLUNA,$54.69
AvalancheAVAX,$79.82
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.54
PolygonMATIC,$1.85
Wrapped BitcoinWBTC,$46535.62
LitecoinLTC,$146.62
UniswapUNI,$14.24
TerraUSDUST,$1.00
TRONTRX,$0.09
AlgorandALGO,$1.36
ChainlinkLINK,$18.01
Bitcoin CashBCH,$429.49
DaiDAI,$1.00
StellarXLM,$0.26
DecentralandMANA,$3.19
Axie InfinityAXS,$94.17
NEAR ProtocolNEAR,$9.36
FTX TokenFTT,$37.93
VeChainVET,$0.08
FilecoinFIL,$36.08
Bitcoin BEP2BTCB,$46847.92
CosmosATOM,$21.74
Internet ComputerICP,$25.42
ElrondEGLD,$234.94
Ethereum ClassicETC,$34.62
The SandboxSAND,$4.90
HederaHBAR,$0.23
THETATHETA,$3.96
GalaGALA,$0.52
TezosXTZ,$4.09
UNUS SED LEOLEO,$3.62
MoneroXMR,$187.39
FantomFTM,$1.30
KlaytnKLAY,$1.24
EOSEOS,$3.14
IOTAMIOTA,$1.04
