Crypto Data + Time Stamp


Mon Dec 13 17:29:59 2021


Bitcoin,"$46,639.47"
Ethereum,"$3,798.01"
Binance Coin,$522.30
Tether,$1.00
Solana,$155.10
USD Coin,$1.00
Cardano,$1.22
XRP,$0.7847
Polkadot,$25.93
Dogecoin,$0.157
TerraLUNA,$53.03
AvalancheAVAX,$80.03
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.53
PolygonMATIC,$1.82
Wrapped BitcoinWBTC,$46385.53
LitecoinLTC,$144.07
UniswapUNI,$14.13
TerraUSDUST,$1.01
TRONTRX,$0.08
AlgorandALGO,$1.33
ChainlinkLINK,$17.77
Bitcoin CashBCH,$422.39
DaiDAI,$1.00
StellarXLM,$0.25
DecentralandMANA,$3.16
Axie InfinityAXS,$92.97
FTX TokenFTT,$37.72
NEAR ProtocolNEAR,$9.07
VeChainVET,$0.08
CosmosATOM,$21.84
Bitcoin BEP2BTCB,$46865.81
FilecoinFIL,$35.74
Internet ComputerICP,$24.90
ElrondEGLD,$230.90
Ethereum ClassicETC,$34.23
The SandboxSAND,$4.84
HederaHBAR,$0.23
THETATHETA,$3.90
TezosXTZ,$4.12
GalaGALA,$0.50
UNUS SED LEOLEO,$3.63
MoneroXMR,$181.18
FantomFTM,$1.28
KlaytnKLAY,$1.23
EOSEOS,$3.07
IOTAMIOTA,$1.03
The GraphGRT,$0.60
BitTorrentBTT,$0.00
LoopringLRC,$2.09
HeliumHNT,$26.10
FlowFLOW,$8.57
PancakeSwapCAKE,$10.92
StacksSTX,$1.89
Bitcoin SVBSV,$123.75
KusamaKSM,$272.64
MakerMKR,$2216.17
AaveAAVE,$161.78
QuantQNT,$174.01
eCashXEC,$0.00
AmpAMP,$0.05
Enjin CoinENJ,$2.32
ZcashZEC,$146.35
HarmonyONE,$0.17
NeoNEO,$25.24
OKBOKB,$27.34
THORChainRUNE,$6.23
ChilizCHZ,$0.27
WavesWAVES,$14.42
KuCoin TokenKCS,$19.17
Basic Attention TokenBAT,$1.02
KadenaKDA,$9.23
Curve DAO TokenCRV,$3.33
Huobi TokenHT,$9.08
HoloHOT,$0.01
TrueUSDTUSD,$1.00
DashDASH,$125.90
NexoNEXO,$2.28
CeloCELO,$3.45
ArweaveAR,$36.11
CompoundCOMP,$179.24
NEMXEM,$0.12
Theta FuelTFUEL,$0.20
MinaMINA,$3.20
IoTeXIOTX,$0.11
1inch Network1INCH,$2.39
RevainREV,$0.01
Oasis NetworkROSE,$0.27
Pax DollarUSDP,$1.00
Voyager TokenVGX,$3.30
CelsiusCEL,$3.79
QtumQTUM,$8.83
Immutable XIMX,$4.65
XDC NetworkXDC,$0.07
DecredDCR,$61.94
RavencoinRVN,$0.08
WAXWAXP,$0.44
OMG NetworkOMG,$5.69
AnkrANKR,$0.10


Mon Dec 13 17:40:01 2021


Bitcoin,"$47,016.77"
Ethereum,"$3,822.74"
Binance Coin,$525.98
Tether,$1.00
Solana,$156.76
USD Coin,$1.00
Cardano,$1.24
XRP,$0.7941
Polkadot,$26.26
Dogecoin,$0.1584
TerraLUNA,$53.56
AvalancheAVAX,$80.65
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.54
PolygonMATIC,$1.84
Wrapped BitcoinWBTC,$46590.39
LitecoinLTC,$145.84
UniswapUNI,$14.33
TerraUSDUST,$1.01
TRONTRX,$0.09
AlgorandALGO,$1.34
ChainlinkLINK,$18.11
Bitcoin CashBCH,$427.33
DaiDAI,$1.00
StellarXLM,$0.26
DecentralandMANA,$3.20
Axie InfinityAXS,$94.03
NEAR ProtocolNEAR,$9.21
FTX TokenFTT,$38.04
VeChainVET,$0.08
CosmosATOM,$22.11
FilecoinFIL,$36.10
Bitcoin BEP2BTCB,$46956.47
Internet ComputerICP,$25.29
ElrondEGLD,$234.25
Ethereum ClassicETC,$34.60
The SandboxSAND,$4.90
HederaHBAR,$0.23
THETATHETA,$3.95
TezosXTZ,$4.19
GalaGALA,$0.51
UNUS SED LEOLEO,$3.63
FantomFTM,$1.30
MoneroXMR,$182.46
KlaytnKLAY,$1.24
EOSEOS,$3.11
IOTAMIOTA,$1.04
The GraphGRT,$0.61
BitTorrentBTT,$0.00
LoopringLRC,$2.12
HeliumHNT,$26.44
FlowFLOW,$8.67
PancakeSwapCAKE,$11.05
StacksSTX,$1.93
Bitcoin SVBSV,$124.89
KusamaKSM,$276.12
MakerMKR,$2251.87
AaveAAVE,$164.04
QuantQNT,$177.22
AmpAMP,$0.05
eCashXEC,$0.00
Enjin CoinENJ,$2.35
ZcashZEC,$148.65
HarmonyONE,$0.17
NeoNEO,$25.51
OKBOKB,$27.61
THORChainRUNE,$6.34
ChilizCHZ,$0.27
WavesWAVES,$14.58
Basic Attention TokenBAT,$1.04
KadenaKDA,$9.56
KuCoin TokenKCS,$19.23
Curve DAO TokenCRV,$3.38
Huobi TokenHT,$9.11
HoloHOT,$0.01
DashDASH,$127.37
TrueUSDTUSD,$1.00
NexoNEXO,$2.30
CeloCELO,$3.49
ArweaveAR,$36.80
CompoundCOMP,$182.11
NEMXEM,$0.12
Theta FuelTFUEL,$0.20
MinaMINA,$3.24
IoTeXIOTX,$0.11
RevainREV,$0.01
1inch Network1INCH,$2.43
Oasis NetworkROSE,$0.28
Pax DollarUSDP,$1.00
Voyager TokenVGX,$3.31
CelsiusCEL,$3.81
QtumQTUM,$8.96
Immutable XIMX,$4.67
XDC NetworkXDC,$0.07
DecredDCR,$62.54
RavencoinRVN,$0.08
WAXWAXP,$0.45
OMG NetworkOMG,$5.77
AnkrANKR,$0.10


Mon Dec 13 17:50:03 2021


Bitcoin,"$47,196.48"
Ethereum,"$3,827.68"
Binance Coin,$527.68
Tether,$1.00
Solana,$157.91
USD Coin,$1.00
Cardano,$1.24
XRP,$0.7976
Polkadot,$26.37
Dogecoin,$0.1588
TerraLUNA,$54.10
AvalancheAVAX,$80.78
SHIBA INUSHIB,$0.00
Binance USDBUSD,$1.00
Crypto.com CoinCRO,$0.54
PolygonMATIC,$1.85
Wrapped BitcoinWBTC,$46782.45
LitecoinLTC,$146.44
UniswapUNI,$14.37
TerraUSDUST,$1.01
TRONTRX,$0.09
AlgorandALGO,$1.35
ChainlinkLINK,$18.07
Bitcoin CashBCH,$428.22
DaiDAI,$1.00
StellarXLM,$0.26
DecentralandMANA,$3.21
Axie InfinityAXS,$94.36
NEAR ProtocolNEAR,$9.26
FTX TokenFTT,$38.09
VeChainVET,$0.08
CosmosATOM,$22.10
Bitcoin BEP2BTCB,$47312.49
FilecoinFIL,$36.17
Internet ComputerICP,$25.43
ElrondEGLD,$235.11
Ethereum ClassicETC,$34.84
The SandboxSAND,$4.90
HederaHBAR,$0.23
THETATHETA,$3.96
TezosXTZ,$4.23
GalaGALA,$0.51
UNUS SED LEOLEO,$3.63
MoneroXMR,$183.25
FantomFTM,$1.30
KlaytnKLAY,$1.25
EOSEOS,$3.14
IOTAMIOTA,$1.04
The GraphGRT,$0.61
BitTorrentBTT,$0.00
LoopringLRC,$2.13
HeliumHNT,$26.50
PancakeSwapCAKE,$11.11
FlowFLOW,$8.70
StacksSTX,$1.92
Bitcoin SVBSV,$125.34
KusamaKSM,$277.03
MakerMKR,$2262.37
AaveAAVE,$164.43
QuantQNT,$181.98
AmpAMP,$0.05
eCashXEC,$0.00
Enjin CoinENJ,$2.36
ZcashZEC,$149.36
HarmonyONE,$0.17
